Event Category,City,Total Events
"Yes, I have heard of fake news",Wilkes-Barre,19
"Yes, I have heard of fake news",Longview,19
"Yes, I have heard of fake news",Rhinelander,19
"Yes, I have heard of fake news",Rock Springs,19
"Yes, I'm good at spotting fake news",Waterloo,19
"Yes, I'm good at spotting fake news",Hattiesburg,19
"Yes, I'm good at spotting fake news",Gloversville,19
"Yes, I'm good at spotting fake news",Syracuse,19
"Yes, I'm good at spotting fake news",La Crosse,19
"Yes, I'm good at spotting fake news",Windber,19
Ignore it,Mountain Home,18
Ignore it,Tampa,18
Ignore it,Marion,18
Ignore it,Bozeman,18
Ignore it,Jamestown,18
Ignore it,Tacoma,18
Ignore it,Cheektowaga,18
"No, I believe most news articles are false",Boston,18
"No, I believe most news articles are false",Ann Arbor,18
"No, I believe most news articles are false",Albuquerque,18
"No, I believe most news articles are false",San Antonio,18
"No, I don't I could tell if an article was telling the truth",Omaha,18
"No, I'm bad at spotting fake news",San Jose,18
"No, I'm bad at spotting fake news",Jacksonville,18
"No, I'm bad at spotting fake news",Bozeman,18
"No, I'm bad at spotting fake news",Missoula,18
"No, I'm bad at spotting fake news",Lincoln,18
"Yes, I have heard of fake news",Little Rock,18
"Yes, I have heard of fake news",Scottsdale,18
"Yes, I have heard of fake news",Grand Junction,18
"Yes, I have heard of fake news",Tallahassee,18
"Yes, I have heard of fake news",Creston,18
"Yes, I have heard of fake news",Crawfordsville,18
"Yes, I have heard of fake news",Nicholasville,18
"Yes, I have heard of fake news",Ozark,18
"Yes, I have heard of fake news",Jackson,18
"Yes, I have heard of fake news",Clifton,18
"Yes, I have heard of fake news",Potsdam,18
"Yes, I have heard of fake news",Toledo,18
"Yes, I have heard of fake news",Lincoln,18
"Yes, I have heard of fake news",Fond du Lac,18
"Yes, I have heard of fake news",Wausau,18
"Yes, I'm good at spotting fake news",Santa Maria,18
"Yes, I'm good at spotting fake news",Des Moines,18
"Yes, I'm good at spotting fake news",Marion,18
"Yes, I'm good at spotting fake news",London,18
"Yes, I'm good at spotting fake news",Worcester,18
"Yes, I'm good at spotting fake news",Billings,18
"Yes, I'm good at spotting fake news",Bozeman,18
"Yes, I'm good at spotting fake news",Norwich,18
"Yes, I'm good at spotting fake news",Pearland,18
"Yes, I'm good at spotting fake news",Bellingham,18
"Yes, I'm good at spotting fake news",Tacoma,18
"Yes, I'm good at spotting fake news",Charleston,18
"Yes, I'm good at spotting fake news",Knik-Fairview,18
"Yes, I'm good at spotting fake news",Lakewood,18
"Yes, think I could tell if an article was telling the truth",St. Louis,18
"Yes, think I could tell if an article was telling the truth",Nashville,18
Call them out,Anchorage,17
Call them out,Boise,17
Call them out,Albany,17
Call them out,Oklahoma City,17
Ignore it,London,17
Ignore it,Springfield,17
Ignore it,Worcester,17
Ignore it,Duluth,17
Ignore it,Cleveland,17
Ignore it,Sioux Falls,17
Ignore it,Johnson City,17
Ignore it,Bellingham,17
Ignore it,Charleston,17
Ignore it,Knik-Fairview,17
Ignore it,Windber,17
"No, I believe most news articles are false",Greenville,17
"No, I believe most news articles are false",Pittsburgh,17
"No, I believe most news articles are false",Austin,17
"No, I have not heard of fake news",Philadelphia,17
"No, I'm bad at spotting fake news",Wichita,17
"No, I'm bad at spotting fake news",Ashburn,17
"No, I'm bad at spotting fake news",Virginia Beach,17
Share it if you like it,Seattle,17
"Yes, I believe most news articles are true",Cincinnati,17
"Yes, I have heard of fake news",Indio,17
"Yes, I have heard of fake news",Arvada,17
"Yes, I have heard of fake news",Bloomington,17
"Yes, I have heard of fake news",Lansing,17
"Yes, I have heard of fake news",Livonia,17
"Yes, I have heard of fake news",Sterling Heights,17
"Yes, I have heard of fake news",Bemidji,17
"Yes, I have heard of fake news",Concord,17
"Yes, I have heard of fake news",Statesville,17
"Yes, I have heard of fake news",Minot,17
"Yes, I have heard of fake news",Galion,17
"Yes, I have heard of fake news",Mansfield,17
"Yes, I have heard of fake news",Hillsboro,17
"Yes, I have heard of fake news",La Grande,17
"Yes, I have heard of fake news",Somerset,17
"Yes, I have heard of fake news",Cumberland,17
"Yes, I have heard of fake news",Pawtucket,17
"Yes, I have heard of fake news",Providence,17
"Yes, I have heard of fake news",Rapid City,17
"Yes, I have heard of fake news",Clarksville,17
"Yes, I have heard of fake news",Garland,17
"Yes, I have heard of fake news",Janesville,17
"Yes, I have heard of fake news",Moorefield,17
"Yes, I have heard of fake news",Thornton,17
"Yes, I'm good at spotting fake news",Sioux City,17
"Yes, I'm good at spotting fake news",West Des Moines,17
"Yes, I'm good at spotting fake news",Elizabethtown,17
"Yes, I'm good at spotting fake news",Mount Laurel,17
"Yes, I'm good at spotting fake news",Binghamton,17
"Yes, I'm good at spotting fake news",Buffalo,17
"Yes, I'm good at spotting fake news",Meadville,17
"Yes, I'm good at spotting fake news",St. George,17
